source,target,mean_counts
NS,NS,1665448.20754717
NS,Mix,1609595.96226415
NS,Het_C,4157815.33962264
NS,Het_F,2571684.90566038
NS,ReprPC,450394.616352201
NS,Enh_Wk,1174642.76100629
NS,Enh,564194.459119497
NS,Pr,115548.79245283
NS,Tx_Wk,1829815.58490566
NS,Tx_Str,1103118.37106918
