EpiRR,states,annotated_probs,corrected_probs,annotated,corrected
IHECRE00001956.2,2,0.69,0.69,Enh,Enh
IHECRE00001956.2,3,0.46,0.46,Het_F,Het_F
IHECRE00001956.2,4,0.83,0.83,ReprPC,ReprPC
IHECRE00001956.2,5,0.63,0.63,Het_C,Het_C
IHECRE00001956.2,6,0.57,0.57,Mix,Mix
IHECRE00001956.2,7,0.61,0.61,Tx_Wk,Tx_Wk
IHECRE00001956.2,8,0.98,0.98,Pr,Pr
IHECRE00001956.2,9,0.96,0.96,Tx_Str,Tx_Str
IHECRE00001956.2,10,0.48,0.28,Het_C,Rep
IHECRE00000095.3,1,0.48,0.37,Het_F,Rep
IHECRE00000095.3,2,0.88,0.88,Enh,Enh
IHECRE00000095.3,3,0.73,0.73,Mix,Mix
IHECRE00000095.3,4,0.33,0.33,Het_F,Het_F
IHECRE00000095.3,5,0.55,0.55,Tx_Wk,Tx_Wk
IHECRE00000095.3,6,0.96,0.96,ReprPC,ReprPC
IHECRE00000095.3,7,0.98,0.98,Pr,Pr
IHECRE00000095.3,8,0.87,0.87,Het_C,Het_C
IHECRE00000095.3,9,0.99,0.99,Tx_Str,Tx_Str
IHECRE00000095.3,10,0.97,0.97,NS,NS
IHECRE00000171.3,1,0.35,0.35,Rep,Rep
IHECRE00000171.3,2,0.43,0.43,Het_C,Het_C
IHECRE00000171.3,3,0.91,0.91,Tx_Str,Tx_Str
IHECRE00000171.3,4,0.99,0.99,NS,NS
IHECRE00000171.3,5,0.94,0.94,Pr,Pr
IHECRE00000171.3,6,0.94,0.94,ReprPC,ReprPC
IHECRE00000171.3,7,0.57,0.57,Het_F,Het_F
IHECRE00000171.3,8,0.42,0.1,Het_F,Mix
IHECRE00000171.3,9,0.73,0.73,Tx_Wk,Tx_Wk
IHECRE00000171.3,10,0.98,0.98,Enh,Enh
IHECRE00000129.3,1,1,1,NS,NS
IHECRE00000129.3,2,1,1,Pr,Pr
IHECRE00000129.3,3,0.51,0.51,Mix,Mix
IHECRE00000129.3,4,0.27,0.24,Het_C,Het_F
IHECRE00000129.3,5,0.99,0.99,Tx_Str,Tx_Str
IHECRE00000129.3,6,0.78,0.78,Het_C,Het_C
IHECRE00000129.3,7,0.95,0.95,ReprPC,ReprPC
IHECRE00000129.3,8,0.92,0.92,Enh,Enh
IHECRE00000129.3,9,0.64,0.64,Tx_Wk,Tx_Wk
IHECRE00000129.3,10,0.67,0.67,Rep,Rep
IHECRE00004888.1,1,1,1,NS,NS
IHECRE00004888.1,2,0.94,0.94,Pr,Pr
IHECRE00004888.1,3,0.31,0.31,Mix,Mix
IHECRE00004888.1,4,0.84,0.84,Tx_Str,Tx_Str
IHECRE00004888.1,5,0.36,0.03,Tx_Str,Enh
IHECRE00004888.1,6,0.97,0.97,Het_C,Het_C
IHECRE00004888.1,7,0.45,0.45,Het_F,Het_F
IHECRE00004888.1,8,0.62,0.62,ReprPC,ReprPC
IHECRE00004888.1,9,0.39,0.35,Mix,Tx_Wk
IHECRE00004888.1,10,0.39,0.29,Het_F,Rep
IHECRE00000308.2,1,0.95,0.95,Het_C,Het_C
IHECRE00000308.2,2,0.78,0.78,Enh,Enh
IHECRE00000308.2,3,0.55,0.42,Tx_Wk,Mix
IHECRE00000308.2,4,1,1,NS,NS
IHECRE00000308.2,5,0.87,0.87,ReprPC,ReprPC
IHECRE00000308.2,6,0.61,0.61,Rep,Rep
IHECRE00000308.2,7,0.76,0.76,Het_F,Het_F
IHECRE00000308.2,8,0.71,0.71,Tx_Wk,Tx_Wk
IHECRE00000308.2,9,0.98,0.98,Tx_Str,Tx_Str
IHECRE00000308.2,10,0.96,0.96,Pr,Pr
IHECRE00000112.3,1,0.65,0.65,Tx_Wk,Tx_Wk
IHECRE00000112.3,2,0.98,0.98,ReprPC,ReprPC
IHECRE00000112.3,3,0.82,0.82,Rep,Rep
IHECRE00000112.3,4,1,1,NS,NS
IHECRE00000112.3,5,1,1,Pr,Pr
IHECRE00000112.3,6,0.92,0.92,Het_C,Het_C
IHECRE00000112.3,7,0.95,0.95,Enh,Enh
IHECRE00000112.3,8,0.99,0.99,Tx_Str,Tx_Str
IHECRE00000112.3,9,0.42,0.42,Mix,Mix
IHECRE00000112.3,10,0.42,0.42,Het_F,Het_F
IHECRE00000059.3,1,0.54,0.54,Enh,Enh
IHECRE00000059.3,2,0.72,0.72,Rep,Rep
IHECRE00000059.3,3,0.88,0.88,Het_C,Het_C
IHECRE00000059.3,4,0.99,0.99,NS,NS
IHECRE00000059.3,5,0.34,0.22,ReprPC,Het_F
IHECRE00000059.3,6,0.3,0.25,Het_F,Tx_Wk
IHECRE00000059.3,7,0.99,0.99,Tx_Str,Tx_Str
IHECRE00000059.3,8,0.86,0.86,ReprPC,ReprPC
IHECRE00000059.3,9,0.95,0.95,Pr,Pr
IHECRE00000059.3,10,0.42,0.42,Mix,Mix
IHECRE00001936.1,1,0.96,0.96,ReprPC,ReprPC
IHECRE00001936.1,2,1,1,NS,NS
IHECRE00001936.1,3,0.98,0.98,Enh,Enh
IHECRE00001936.1,4,1,1,Pr,Pr
IHECRE00001936.1,5,0.82,0.82,Mix,Mix
IHECRE00001936.1,6,0.94,0.94,Het_C,Het_C
IHECRE00001936.1,7,0.89,0.89,Het_F,Het_F
IHECRE00001936.1,8,0.86,0.86,Rep,Rep
IHECRE00001936.1,9,0.83,0.83,Tx_Wk,Tx_Wk
IHECRE00001936.1,10,1,1,Tx_Str,Tx_Str
IHECRE00000886.3,1,0.44,0.44,Tx_Wk,Tx_Wk
IHECRE00000886.3,2,1,1,Pr,Pr
IHECRE00000886.3,3,0.93,0.93,ReprPC,ReprPC
IHECRE00000886.3,4,1,1,NS,NS
IHECRE00000886.3,5,0.85,0.85,Enh,Enh
IHECRE00000886.3,6,0.52,0.52,Rep,Rep
IHECRE00000886.3,7,0.92,0.92,Het_C,Het_C
IHECRE00000886.3,8,0.83,0.83,Tx_Str,Tx_Str
IHECRE00000886.3,9,0.33,0.26,Tx_Wk,Mix
IHECRE00000886.3,10,0.47,0.47,Het_F,Het_F
IHECRE00001916.1,1,0.71,0.71,Het_F,Het_F
IHECRE00001916.1,2,0.87,0.87,Enh,Enh
IHECRE00001916.1,3,0.83,0.83,Tx_Wk,Tx_Wk
IHECRE00001916.1,4,0.99,0.99,NS,NS
IHECRE00001916.1,5,1,1,Pr,Pr
IHECRE00001916.1,6,0.97,0.97,Rep,Rep
IHECRE00001916.1,7,0.77,0.77,ReprPC,ReprPC
IHECRE00001916.1,8,0.99,0.99,Tx_Str,Tx_Str
IHECRE00001916.1,9,0.94,0.94,Het_C,Het_C
IHECRE00001916.1,10,0.9,0.9,Mix,Mix
IHECRE00000704.1,1,0.98,0.98,Tx_Str,Tx_Str
IHECRE00000704.1,2,0.67,0.67,Tx_Wk,Tx_Wk
IHECRE00000704.1,3,0.45,0.37,Het_F,Rep
IHECRE00000704.1,4,1,1,NS,NS
IHECRE00000704.1,5,0.89,0.89,Enh,Enh
IHECRE00000704.1,6,0.46,0.41,Tx_Wk,Mix
IHECRE00000704.1,7,0.9,0.9,ReprPC,ReprPC
IHECRE00000704.1,8,0.99,0.99,Het_C,Het_C
IHECRE00000704.1,9,0.81,0.81,Het_F,Het_F
IHECRE00000704.1,10,1,1,Pr,Pr
IHECRE00000094.3,1,0.96,0.96,Pr,Pr
IHECRE00000094.3,2,0.61,0.61,ReprPC,ReprPC
IHECRE00000094.3,3,0.48,0.48,Enh,Enh
IHECRE00000094.3,4,0.86,0.86,Het_C,Het_C
IHECRE00000094.3,5,0.29,0.16,ReprPC,Tx_Wk
IHECRE00000094.3,6,0.99,0.99,NS,NS
IHECRE00000094.3,7,0.31,0.31,Het_F,Het_F
IHECRE00000094.3,8,0.45,0.45,Mix,Mix
IHECRE00000094.3,9,0.88,0.88,Tx_Str,Tx_Str
IHECRE00000094.3,10,0.4,0.4,Rep,Rep
