EpiRR,states,annotated_probs,corrected_probs,annotated,corrected
IHECRE00001904.1,7,0.98,0.98,ReprPC,ReprPC
IHECRE00001904.1,8,1,1,Het_C,Het_C
IHECRE00001904.1,9,1,1,NS,NS
IHECRE00001904.1,10,1,1,Enh,Enh
IHECRE00000101.3,1,0.44,0.44,Mix,Mix
IHECRE00000101.3,2,0.98,0.98,Tx_Str,Tx_Str
IHECRE00000101.3,3,0.94,0.94,Het_C,Het_C
IHECRE00000101.3,4,1,1,NS,NS
IHECRE00000101.3,5,0.49,0.49,Rep,Rep
IHECRE00000101.3,6,0.71,0.71,Enh,Enh
IHECRE00000101.3,7,0.47,0.24,Rep,Het_F
IHECRE00000101.3,8,0.59,0.59,Tx_Wk,Tx_Wk
IHECRE00000101.3,9,1,1,Pr,Pr
IHECRE00000101.3,10,0.94,0.94,ReprPC,ReprPC
IHECRE00000195.3,1,0.91,0.91,ReprPC,ReprPC
IHECRE00000195.3,2,0.99,0.99,NS,NS
IHECRE00000195.3,3,1,1,Pr,Pr
IHECRE00000195.3,4,0.65,0.65,Tx_Wk,Tx_Wk
IHECRE00000195.3,5,0.9,0.9,Enh,Enh
IHECRE00000195.3,6,0.45,0.45,Mix,Mix
IHECRE00000195.3,7,0.43,0.37,Rep,Het_F
IHECRE00000195.3,8,0.99,0.99,Tx_Str,Tx_Str
IHECRE00000195.3,9,1,1,Het_C,Het_C
IHECRE00000195.3,10,0.43,0.43,Rep,Rep
IHECRE00000071.3,1,0.38,0.1,ReprPC,Tx_Wk
IHECRE00000071.3,2,1,1,Pr,Pr
IHECRE00000071.3,3,0.67,0.67,Rep,Rep
IHECRE00000071.3,4,1,1,NS,NS
IHECRE00000071.3,5,0.5,0.5,Mix,Mix
IHECRE00000071.3,6,0.64,0.64,Enh,Enh
IHECRE00000071.3,7,0.93,0.93,Het_C,Het_C
IHECRE00000071.3,8,0.95,0.95,ReprPC,ReprPC
IHECRE00000071.3,9,0.53,0.53,Het_F,Het_F
IHECRE00000071.3,10,1,1,Tx_Str,Tx_Str
IHECRE00001964.2,1,0.4,0.4,Rep,Rep
IHECRE00001964.2,2,0.38,0.38,Tx_Wk,Tx_Wk
IHECRE00001964.2,3,0.42,0.41,Mix,Het_F
IHECRE00001964.2,4,1,1,NS,NS
IHECRE00001964.2,5,0.35,0.35,ReprPC,ReprPC
IHECRE00001964.2,6,0.29,0.22,Tx_Wk,Mix
IHECRE00001964.2,7,0.96,0.96,Pr,Pr
IHECRE00001964.2,8,0.97,0.97,Het_C,Het_C
IHECRE00001964.2,9,0.87,0.87,Tx_Str,Tx_Str
IHECRE00001964.2,10,0.89,0.89,Enh,Enh
IHECRE00000301.2,1,0.52,0.52,Mix,Mix
IHECRE00000301.2,2,0.51,0.51,ReprPC,ReprPC
IHECRE00000301.2,3,0.76,0.76,Het_F,Het_F
IHECRE00000301.2,4,0.99,0.99,NS,NS
IHECRE00000301.2,5,0.93,0.93,Tx_Str,Tx_Str
IHECRE00000301.2,6,0.96,0.96,Pr,Pr
IHECRE00000301.2,7,0.97,0.97,Het_C,Het_C
IHECRE00000301.2,8,0.5,0.08,ReprPC,Rep
IHECRE00000301.2,9,0.82,0.82,Enh,Enh
IHECRE00000301.2,10,0.64,0.64,Tx_Wk,Tx_Wk
IHECRE00000008.3,1,0.47,0.1,ReprPC,Tx_Wk
IHECRE00000008.3,2,0.82,0.82,Rep,Rep
IHECRE00000008.3,3,1,1,NS,NS
IHECRE00000008.3,4,0.88,0.88,Het_C,Het_C
IHECRE00000008.3,5,0.41,0.41,Het_F,Het_F
IHECRE00000008.3,6,1,1,Pr,Pr
IHECRE00000008.3,7,0.98,0.98,Tx_Str,Tx_Str
IHECRE00000008.3,8,0.96,0.96,ReprPC,ReprPC
IHECRE00000008.3,9,0.51,0.51,Mix,Mix
IHECRE00000008.3,10,0.48,0.48,Enh,Enh
IHECRE00001958.3,1,0.97,0.97,Tx_Str,Tx_Str
IHECRE00001958.3,2,0.99,0.99,Het_C,Het_C
IHECRE00001958.3,3,0.76,0.76,Mix,Mix
IHECRE00001958.3,4,0.98,0.98,NS,NS
IHECRE00001958.3,5,0.28,0.28,Het_F,Het_F
IHECRE00001958.3,6,0.96,0.96,Pr,Pr
IHECRE00001958.3,7,0.73,0.73,Enh,Enh
IHECRE00001958.3,8,0.55,0.55,Rep,Rep
IHECRE00001958.3,9,0.74,0.74,Tx_Wk,Tx_Wk
IHECRE00001958.3,10,0.43,0.43,ReprPC,ReprPC
IHECRE00003818.1,1,0.93,0.93,Het_C,Het_C
IHECRE00003818.1,2,0.75,0.75,Mix,Mix
IHECRE00003818.1,3,1,1,Pr,Pr
IHECRE00003818.1,4,0.96,0.96,ReprPC,ReprPC
IHECRE00003818.1,5,0.72,0.72,Het_F,Het_F
IHECRE00003818.1,6,0.81,0.81,Rep,Rep
IHECRE00003818.1,7,1,1,NS,NS
IHECRE00003818.1,8,0.87,0.87,Enh,Enh
IHECRE00003818.1,9,1,1,Tx_Str,Tx_Str
IHECRE00003818.1,10,0.64,0.64,Tx_Wk,Tx_Wk
IHECRE00000868.3,1,1,1,NS,NS
IHECRE00000868.3,2,0.98,0.98,Pr,Pr
IHECRE00000868.3,3,0.41,0.41,Enh,Enh
IHECRE00000868.3,4,0.38,0.35,Het_F,Het_C
IHECRE00000868.3,5,0.26,0.25,Tx_Wk,Mix
IHECRE00000868.3,6,0.31,0.21,ReprPC,Rep
IHECRE00000868.3,7,0.41,0.41,Het_F,Het_F
IHECRE00000868.3,8,0.4,0.4,ReprPC,ReprPC
IHECRE00000868.3,9,0.8,0.8,Tx_Str,Tx_Str
IHECRE00000868.3,10,0.51,0.51,Tx_Wk,Tx_Wk
IHECRE00000330.2,1,0.92,0.92,ReprPC,ReprPC
IHECRE00000330.2,2,1,1,NS,NS
IHECRE00000330.2,3,1,1,Pr,Pr
IHECRE00000330.2,4,0.75,0.75,Enh,Enh
IHECRE00000330.2,5,0.81,0.81,Het_C,Het_C
IHECRE00000330.2,6,0.41,0.24,Tx_Wk,Mix
IHECRE00000330.2,7,0.32,0.32,Het_F,Het_F
IHECRE00000330.2,8,0.67,0.67,Tx_Wk,Tx_Wk
IHECRE00000330.2,9,0.44,0.44,Rep,Rep
IHECRE00000330.2,10,0.94,0.94,Tx_Str,Tx_Str
IHECRE00000718.3,1,0.91,0.91,Tx_Str,Tx_Str
IHECRE00000718.3,2,0.6,0.6,Mix,Mix
IHECRE00000718.3,3,0.82,0.82,Het_F,Het_F
IHECRE00000718.3,4,1,1,NS,NS
IHECRE00000718.3,5,0.79,0.79,Tx_Wk,Tx_Wk
IHECRE00000718.3,6,0.87,0.87,Enh,Enh
IHECRE00000718.3,7,1,1,Het_C,Het_C
IHECRE00000718.3,8,0.43,0.43,Rep,Rep
IHECRE00000718.3,9,1,1,Pr,Pr
IHECRE00000718.3,10,0.96,0.96,ReprPC,ReprPC
IHECRE00000353.2,1,0.31,0.31,Rep,Rep
IHECRE00000353.2,2,0.99,0.99,Het_C,Het_C
IHECRE00000353.2,3,0.99,0.99,Tx_Str,Tx_Str
IHECRE00000353.2,4,0.99,0.99,NS,NS
IHECRE00000353.2,5,0.96,0.96,Pr,Pr
IHECRE00000353.2,6,0.76,0.76,Tx_Wk,Tx_Wk
IHECRE00000353.2,7,0.7,0.7,Mix,Mix
IHECRE00000353.2,8,0.85,0.85,Het_F,Het_F
IHECRE00000353.2,9,0.79,0.79,Enh,Enh
IHECRE00000353.2,10,0.82,0.82,ReprPC,ReprPC
IHECRE00001914.1,1,0.81,0.81,Het_F,Het_F
IHECRE00001914.1,2,0.73,0.73,Tx_Wk,Tx_Wk
IHECRE00001914.1,3,0.98,0.98,Het_C,Het_C
IHECRE00001914.1,4,1,1,NS,NS
IHECRE00001914.1,5,1,1,Pr,Pr
IHECRE00001914.1,6,0.97,0.97,Rep,Rep
IHECRE00001914.1,7,1,1,Enh,Enh
IHECRE00001914.1,8,0.95,0.95,Tx_Str,Tx_Str
IHECRE00001914.1,9,0.86,0.86,Mix,Mix
IHECRE00001914.1,10,0.99,0.99,ReprPC,ReprPC
IHECRE00004606.2,1,0.34,0.34,Rep,Rep
IHECRE00004606.2,2,0.99,0.99,NS,NS
IHECRE00004606.2,3,1,1,Pr,Pr
IHECRE00004606.2,4,0.55,0.55,Enh,Enh
IHECRE00004606.2,5,0.57,0.57,Tx_Wk,Tx_Wk
IHECRE00004606.2,6,0.74,0.74,Het_C,Het_C
IHECRE00004606.2,7,0.32,0.31,Het_C,Het_F
IHECRE00004606.2,8,0.44,0.44,Mix,Mix
IHECRE00004606.2,9,0.79,0.79,Tx_Str,Tx_Str
IHECRE00004606.2,10,0.61,0.61,ReprPC,ReprPC
IHECRE00000261.2,1,0.52,0.46,Het_C,Het_F
IHECRE00000261.2,2,1,1,Pr,Pr
IHECRE00000261.2,3,1,1,NS,NS
IHECRE00000261.2,4,0.65,0.65,Tx_Wk,Tx_Wk
IHECRE00000261.2,5,0.34,0.19,Het_F,Mix
IHECRE00000261.2,6,0.6,0.6,Enh,Enh
IHECRE00000261.2,7,0.96,0.96,Tx_Str,Tx_Str
IHECRE00000261.2,8,0.97,0.97,ReprPC,ReprPC
IHECRE00000261.2,9,0.32,0.32,Het_C,Het_C
IHECRE00000261.2,10,0.66,0.66,Rep,Rep
IHECRE00004605.1,1,0.41,0.41,Het_C,Het_C
IHECRE00004605.1,2,0.4,0.23,Het_C,Rep
IHECRE00004605.1,3,0.38,0.38,Het_F,Het_F
IHECRE00004605.1,4,0.98,0.98,NS,NS
IHECRE00004605.1,5,0.51,0.34,Enh,ReprPC
IHECRE00004605.1,6,0.36,0.3,Tx_Wk,Mix
IHECRE00004605.1,7,1,1,Pr,Pr
IHECRE00004605.1,8,0.68,0.68,Tx_Str,Tx_Str
IHECRE00004605.1,9,0.47,0.47,Tx_Wk,Tx_Wk
IHECRE00004605.1,10,0.39,0.39,Enh,Enh
IHECRE00001935.1,1,1,1,Tx_Str,Tx_Str
IHECRE00001935.1,2,1,1,Het_C,Het_C
IHECRE00001935.1,3,1,1,Het_F,Het_F
IHECRE00001935.1,4,0.99,0.99,NS,NS
IHECRE00001935.1,5,0.95,0.95,Tx_Wk,Tx_Wk
IHECRE00001935.1,6,0.85,0.85,ReprPC,ReprPC
IHECRE00001935.1,7,0.99,0.99,Pr,Pr
IHECRE00001935.1,8,0.85,0.85,Mix,Mix
IHECRE00001935.1,9,0.89,0.89,Rep,Rep
IHECRE00001935.1,10,1,1,Enh,Enh
IHECRE00000022.3,1,1,1,Pr,Pr
IHECRE00000022.3,2,0.99,0.99,NS,NS
IHECRE00000022.3,3,0.34,0.34,Het_F,Het_F
IHECRE00000022.3,4,0.54,0.54,Tx_Wk,Tx_Wk
IHECRE00000022.3,5,0.88,0.88,Enh,Enh
IHECRE00000022.3,6,0.38,0.36,Het_C,Rep
IHECRE00000022.3,7,0.95,0.95,ReprPC,ReprPC
IHECRE00000022.3,8,0.55,0.55,Het_C,Het_C
IHECRE00000022.3,9,0.96,0.96,Tx_Str,Tx_Str
IHECRE00000022.3,10,0.42,0.23,Het_F,Mix
IHECRE00004607.2,1,0.52,0.52,Tx_Wk,Tx_Wk
IHECRE00004607.2,2,0.43,0.31,Tx_Wk,Mix
IHECRE00004607.2,3,0.76,0.76,Het_C,Het_C
IHECRE00004607.2,4,0.98,0.98,NS,NS
IHECRE00004607.2,5,0.46,0.46,Tx_Str,Tx_Str
IHECRE00004607.2,6,1,1,Pr,Pr
IHECRE00004607.2,7,0.4,0.4,Enh,Enh
IHECRE00004607.2,8,0.49,0.49,Het_F,Het_F
IHECRE00004607.2,9,0.41,0.41,ReprPC,ReprPC
IHECRE00004607.2,10,0.33,0.13,Het_F,Rep
IHECRE00001915.1,1,0.65,0.65,Het_C,Het_C
IHECRE00001915.1,2,0.95,0.95,Tx_Wk,Tx_Wk
IHECRE00001915.1,3,0.76,0.76,Het_F,Het_F
IHECRE00001915.1,4,1,1,NS,NS
IHECRE00001915.1,5,1,1,Pr,Pr
IHECRE00001915.1,6,0.86,0.86,Mix,Mix
IHECRE00001915.1,7,0.96,0.96,ReprPC,ReprPC
IHECRE00001915.1,8,0.98,0.98,Tx_Str,Tx_Str
IHECRE00001915.1,9,0.94,0.94,Rep,Rep
IHECRE00001915.1,10,0.98,0.98,Enh,Enh
IHECRE00000060.3,1,0.98,0.98,NS,NS
IHECRE00000060.3,2,0.98,0.98,Enh,Enh
IHECRE00000060.3,3,0.38,0.38,Het_F,Het_F
IHECRE00000060.3,4,0.5,0.5,Rep,Rep
IHECRE00000060.3,5,0.58,0.58,Tx_Wk,Tx_Wk
IHECRE00000060.3,6,1,1,Tx_Str,Tx_Str
IHECRE00000060.3,7,0.76,0.76,Het_C,Het_C
IHECRE00000060.3,8,0.98,0.98,Pr,Pr
IHECRE00000060.3,9,0.45,0.45,Mix,Mix
IHECRE00000060.3,10,0.96,0.96,ReprPC,ReprPC
IHECRE00001954.2,1,1,1,NS,NS
IHECRE00001954.2,2,0.68,0.68,Enh,Enh
IHECRE00001954.2,3,0.46,0.46,Het_F,Het_F
IHECRE00001954.2,4,0.63,0.63,ReprPC,ReprPC
IHECRE00001954.2,5,0.54,0.54,Mix,Mix
IHECRE00001954.2,6,0.46,0.46,Rep,Rep
IHECRE00001954.2,7,0.47,0.47,Tx_Wk,Tx_Wk
IHECRE00001954.2,8,0.92,0.92,Pr,Pr
IHECRE00001954.2,9,0.95,0.95,Tx_Str,Tx_Str
IHECRE00001954.2,10,0.98,0.98,Het_C,Het_C
IHECRE00003842.2,1,0.39,0.21,Tx_Wk,Mix
IHECRE00003842.2,2,0.66,0.66,Tx_Wk,Tx_Wk
IHECRE00003842.2,3,0.27,0.23,Het_F,Rep
IHECRE00003842.2,4,0.94,0.94,NS,NS
IHECRE00003842.2,5,0.98,0.98,Pr,Pr
IHECRE00003842.2,6,0.6,0.6,Het_F,Het_F
IHECRE00003842.2,7,0.78,0.78,ReprPC,ReprPC
IHECRE00003842.2,8,0.98,0.98,Tx_Str,Tx_Str
IHECRE00003842.2,9,0.85,0.85,Het_C,Het_C
IHECRE00003842.2,10,0.39,0.39,Enh,Enh
IHECRE00000184.3,1,0.48,0.29,Rep,ReprPC
IHECRE00000184.3,2,0.54,0.54,Tx_Wk,Tx_Wk
IHECRE00000184.3,3,0.99,0.99,Het_C,Het_C
IHECRE00000184.3,4,0.99,0.99,NS,NS
IHECRE00000184.3,5,0.88,0.88,Enh,Enh
IHECRE00000184.3,6,0.54,0.54,Rep,Rep
IHECRE00000184.3,7,0.47,0.3,Mix,Het_F
IHECRE00000184.3,8,0.95,0.95,Pr,Pr
IHECRE00000184.3,9,0.43,0.43,Mix,Mix
IHECRE00000184.3,10,0.97,0.97,Tx_Str,Tx_Str
IHECRE00003692.4,1,0.38,0.38,Het_F,Het_F
IHECRE00003692.4,2,0.63,0.63,ReprPC,ReprPC
IHECRE00003692.4,3,0.5,0.5,Rep,Rep
IHECRE00003692.4,4,0.9,0.9,NS,NS
IHECRE00003692.4,5,0.9,0.9,Pr,Pr
IHECRE00003692.4,6,0.24,0.22,Rep,Mix
IHECRE00003692.4,7,0.38,0.38,Enh,Enh
IHECRE00003692.4,8,0.94,0.94,Het_C,Het_C
IHECRE00003692.4,9,0.44,0.44,Tx_Wk,Tx_Wk
IHECRE00003692.4,10,0.88,0.88,Tx_Str,Tx_Str
IHECRE00003819.1,1,0.93,0.93,Rep,Rep
IHECRE00003819.1,2,0.98,0.98,Tx_Wk,Tx_Wk
IHECRE00003819.1,3,0.96,0.96,Het_C,Het_C
IHECRE00003819.1,4,1,1,NS,NS
IHECRE00003819.1,5,1,1,Pr,Pr
IHECRE00003819.1,6,0.9,0.9,Het_F,Het_F
IHECRE00003819.1,7,1,1,Tx_Str,Tx_Str
IHECRE00003819.1,8,0.91,0.91,Mix,Mix
IHECRE00003819.1,9,0.95,0.95,ReprPC,ReprPC
IHECRE00003819.1,10,0.92,0.92,Enh,Enh
IHECRE00000738.3,1,0.88,0.88,Tx_Str,Tx_Str
IHECRE00000738.3,2,0.39,0.16,ReprPC,Rep
IHECRE00000738.3,3,0.63,0.63,Tx_Wk,Tx_Wk
IHECRE00000738.3,4,0.96,0.96,Het_C,Het_C
IHECRE00000738.3,5,0.96,0.96,NS,NS
IHECRE00000738.3,6,0.66,0.66,Het_F,Het_F
IHECRE00000738.3,7,0.67,0.67,ReprPC,ReprPC
IHECRE00000738.3,8,0.48,0.48,Enh,Enh
IHECRE00000738.3,9,0.87,0.87,Pr,Pr
IHECRE00000738.3,10,0.28,0.21,Het_F,Mix
IHECRE00000810.3,1,0.93,0.93,Tx_Str,Tx_Str
IHECRE00000810.3,2,0.28,0.26,Het_F,Rep
IHECRE00000810.3,3,0.71,0.71,Het_F,Het_F
IHECRE00000810.3,4,0.99,0.99,NS,NS
IHECRE00000810.3,5,0.73,0.73,Mix,Mix
IHECRE00000810.3,6,0.67,0.67,Enh,Enh
IHECRE00000810.3,7,0.38,0.38,Tx_Wk,Tx_Wk
IHECRE00000810.3,8,0.95,0.95,Het_C,Het_C
IHECRE00000810.3,9,0.96,0.96,Pr,Pr
IHECRE00000810.3,10,0.33,0.33,ReprPC,ReprPC
IHECRE00000142.3,1,0.34,0.34,Het_F,Het_F
IHECRE00000142.3,2,0.99,0.99,NS,NS
IHECRE00000142.3,3,1,1,Pr,Pr
IHECRE00000142.3,4,0.84,0.84,ReprPC,ReprPC
IHECRE00000142.3,5,0.5,0.5,Tx_Wk,Tx_Wk
IHECRE00000142.3,6,0.99,0.99,Tx_Str,Tx_Str
IHECRE00000142.3,7,0.66,0.66,Rep,Rep
IHECRE00000142.3,8,0.54,0.54,Mix,Mix
IHECRE00000142.3,9,0.78,0.78,Het_C,Het_C
IHECRE00000142.3,10,0.99,0.99,Enh,Enh
IHECRE00003809.1,1,0.97,0.97,Mix,Mix
IHECRE00003809.1,2,0.89,0.89,Het_F,Het_F
IHECRE00003809.1,3,1,1,Tx_Str,Tx_Str
IHECRE00003809.1,4,1,1,NS,NS
IHECRE00003809.1,5,1,1,Pr,Pr
IHECRE00003809.1,6,0.93,0.93,ReprPC,ReprPC
IHECRE00003809.1,7,0.97,0.97,Tx_Wk,Tx_Wk
IHECRE00003809.1,8,0.99,0.99,Het_C,Het_C
IHECRE00003809.1,9,0.96,0.96,Enh,Enh
IHECRE00003809.1,10,0.94,0.94,Rep,Rep
IHECRE00001965.2,1,0.51,0.51,Tx_Wk,Tx_Wk
IHECRE00001965.2,2,0.87,0.87,Enh,Enh
IHECRE00001965.2,3,1,1,Het_C,Het_C
IHECRE00001965.2,4,1,1,NS,NS
IHECRE00001965.2,5,0.37,0.37,Mix,Mix
IHECRE00001965.2,6,0.98,0.98,Pr,Pr
IHECRE00001965.2,7,0.83,0.83,Tx_Str,Tx_Str
IHECRE00001965.2,8,0.42,0.42,Het_F,Het_F
IHECRE00001965.2,9,0.6,0.6,ReprPC,ReprPC
IHECRE00001965.2,10,0.55,0.55,Rep,Rep
IHECRE00003836.3,1,0.58,0.58,Het_F,Het_F
IHECRE00003836.3,2,0.88,0.88,Pr,Pr
IHECRE00003836.3,3,0.42,0.3,Het_F,ReprPC
IHECRE00003836.3,4,1,1,NS,NS
IHECRE00003836.3,5,0.7,0.7,Enh,Enh
IHECRE00003836.3,6,0.62,0.62,Tx_Wk,Tx_Wk
IHECRE00003836.3,7,0.99,0.99,Het_C,Het_C
IHECRE00003836.3,8,0.42,0.4,Tx_Wk,Mix
IHECRE00003836.3,9,0.45,0.45,Rep,Rep
IHECRE00003836.3,10,0.84,0.84,Tx_Str,Tx_Str
IHECRE00000070.3,1,0.73,0.73,Rep,Rep
IHECRE00000070.3,2,0.37,0.37,Het_F,Het_F
IHECRE00000070.3,3,0.79,0.79,Het_C,Het_C
IHECRE00000070.3,4,0.99,0.99,NS,NS
IHECRE00000070.3,5,0.98,0.98,Tx_Str,Tx_Str
IHECRE00000070.3,6,0.97,0.97,ReprPC,ReprPC
IHECRE00000070.3,7,0.52,0.52,Enh,Enh
IHECRE00000070.3,8,0.47,0.21,Het_F,Mix
IHECRE00000070.3,9,1,1,Pr,Pr
IHECRE00000070.3,10,0.51,0.51,Tx_Wk,Tx_Wk
IHECRE00000194.3,1,0.55,0.55,Rep,Rep
IHECRE00000194.3,2,0.31,0.31,Mix,Mix
IHECRE00000194.3,3,0.96,0.96,ReprPC,ReprPC
IHECRE00000194.3,4,0.99,0.99,NS,NS
IHECRE00000194.3,5,0.99,0.99,Tx_Str,Tx_Str
IHECRE00000194.3,6,0.72,0.72,Het_C,Het_C
IHECRE00000194.3,7,0.74,0.74,Enh,Enh
IHECRE00000194.3,8,0.34,0.28,Rep,Het_F
IHECRE00000194.3,9,0.96,0.96,Pr,Pr
IHECRE00000194.3,10,0.73,0.73,Tx_Wk,Tx_Wk
IHECRE00003837.4,1,0.47,0.03,Het_F,Tx_Wk
IHECRE00003837.4,2,0.58,0.58,Het_F,Het_F
IHECRE00003837.4,3,0.5,0.5,Rep,Rep
IHECRE00003837.4,4,1,1,NS,NS
IHECRE00003837.4,5,1,1,Pr,Pr
IHECRE00003837.4,6,0.37,0.37,Het_C,Het_C
IHECRE00003837.4,7,0.73,0.73,ReprPC,ReprPC
IHECRE00003837.4,8,0.97,0.97,Tx_Str,Tx_Str
IHECRE00003837.4,9,0.39,0.39,Mix,Mix
IHECRE00003837.4,10,0.34,0.34,Enh,Enh
IHECRE00000013.3,1,0.95,0.95,Het_C,Het_C
IHECRE00000013.3,2,0.59,0.59,Enh,Enh
IHECRE00000013.3,3,0.48,0.48,Tx_Wk,Tx_Wk
IHECRE00000013.3,4,0.46,0.39,Rep,Het_F
IHECRE00000013.3,5,0.63,0.63,Rep,Rep
IHECRE00000013.3,6,0.48,0.48,Mix,Mix
IHECRE00000013.3,7,1,1,NS,NS
IHECRE00000013.3,8,0.95,0.95,ReprPC,ReprPC
IHECRE00000013.3,9,0.93,0.93,Tx_Str,Tx_Str
IHECRE00000013.3,10,1,1,Pr,Pr
IHECRE00001905.1,1,0.98,0.98,Tx_Str,Tx_Str
IHECRE00001905.1,2,0.96,0.96,Mix,Mix
IHECRE00001905.1,3,0.98,0.98,Rep,Rep
IHECRE00001905.1,4,1,1,NS,NS
IHECRE00001905.1,5,0.87,0.87,Tx_Wk,Tx_Wk
IHECRE00001905.1,6,1,1,Pr,Pr
IHECRE00001905.1,7,0.96,0.96,Enh,Enh
IHECRE00001905.1,8,0.92,0.92,Het_C,Het_C
IHECRE00001905.1,9,0.95,0.95,Het_F,Het_F
IHECRE00001905.1,10,0.99,0.99,ReprPC,ReprPC
IHECRE00004617.2,1,0.99,0.99,NS,NS
IHECRE00004617.2,2,1,1,Pr,Pr
IHECRE00004617.2,3,0.7,0.7,Het_C,Het_C
IHECRE00004617.2,4,0.47,0.47,ReprPC,ReprPC
IHECRE00004617.2,5,0.48,0.48,Tx_Str,Tx_Str
IHECRE00004617.2,6,0.26,0.26,Rep,Rep
IHECRE00004617.2,7,0.37,0.37,Het_F,Het_F
IHECRE00004617.2,8,0.36,0.36,Enh,Enh
IHECRE00004617.2,9,0.53,0.53,Tx_Wk,Tx_Wk
IHECRE00004617.2,10,0.37,0.27,Het_F,Mix
IHECRE00004614.1,1,0.78,0.78,Het_C,Het_C
IHECRE00004614.1,2,0.98,0.98,NS,NS
IHECRE00004614.1,3,0.41,0.41,Enh,Enh
IHECRE00004614.1,4,1,1,Pr,Pr
IHECRE00004614.1,5,0.5,0.5,Tx_Str,Tx_Str
IHECRE00004614.1,6,0.37,0.37,Mix,Mix
IHECRE00004614.1,7,0.55,0.55,Het_F,Het_F
IHECRE00004614.1,8,0.33,0.33,Rep,Rep
IHECRE00004614.1,9,0.38,0.11,Het_F,ReprPC
IHECRE00004614.1,10,0.5,0.5,Tx_Wk,Tx_Wk
IHECRE00003828.3,1,0.96,0.96,Het_C,Het_C
IHECRE00003828.3,2,0.78,0.78,Tx_Str,Tx_Str
IHECRE00003828.3,3,0.48,0.14,Het_F,Rep
IHECRE00003828.3,4,1,1,NS,NS
IHECRE00003828.3,5,0.39,0.39,Mix,Mix
IHECRE00003828.3,6,0.57,0.57,Enh,Enh
IHECRE00003828.3,7,0.5,0.5,Tx_Wk,Tx_Wk
IHECRE00003828.3,8,0.77,0.77,ReprPC,ReprPC
IHECRE00003828.3,9,1,1,Pr,Pr
IHECRE00003828.3,10,0.44,0.44,Het_F,Het_F
IHECRE00000283.2,1,0.64,0.64,Rep,Rep
IHECRE00000283.2,2,0.77,0.77,Mix,Mix
IHECRE00000283.2,3,0.98,0.98,Enh,Enh
IHECRE00000283.2,4,0.83,0.83,Tx_Wk,Tx_Wk
IHECRE00000283.2,5,1,1,Het_C,Het_C
IHECRE00000283.2,6,1,1,NS,NS
IHECRE00000283.2,7,1,1,Pr,Pr
IHECRE00000283.2,8,0.69,0.69,Het_F,Het_F
IHECRE00000283.2,9,1,1,Tx_Str,Tx_Str
IHECRE00000283.2,10,0.98,0.98,ReprPC,ReprPC
IHECRE00000099.3,1,0.57,0.57,Tx_Wk,Tx_Wk
IHECRE00000099.3,2,0.94,0.94,ReprPC,ReprPC
IHECRE00000099.3,3,1,1,Tx_Str,Tx_Str
IHECRE00000099.3,4,0.47,0.29,Rep,Het_F
IHECRE00000099.3,5,0.99,0.99,NS,NS
IHECRE00000099.3,6,0.48,0.48,Rep,Rep
IHECRE00000099.3,7,0.49,0.49,Mix,Mix
IHECRE00000099.3,8,1,1,Het_C,Het_C
IHECRE00000099.3,9,0.96,0.96,Pr,Pr
IHECRE00000099.3,10,0.92,0.92,Enh,Enh
IHECRE00000867.3,1,0.52,0.25,Het_F,Mix
IHECRE00000867.3,2,0.47,0.47,Het_F,Het_F
IHECRE00000867.3,3,0.91,0.91,Het_C,Het_C
IHECRE00000867.3,4,0.41,0.24,Het_F,Rep
IHECRE00000867.3,5,0.99,0.99,NS,NS
IHECRE00000867.3,6,0.78,0.78,Pr,Pr
IHECRE00000867.3,7,0.62,0.62,Tx_Str,Tx_Str
IHECRE00000867.3,8,0.33,0.33,Tx_Wk,Tx_Wk
IHECRE00000867.3,9,0.41,0.41,Enh,Enh
IHECRE00000867.3,10,0.42,0.42,ReprPC,ReprPC
IHECRE00001457.1,1,0.81,0.81,Het_F,Het_F
IHECRE00001457.1,2,0.99,0.99,Tx_Str,Tx_Str
IHECRE00001457.1,3,0.53,0.41,Het_F,Rep
IHECRE00001457.1,4,1,1,NS,NS
IHECRE00001457.1,5,0.32,0.17,Het_F,Mix
IHECRE00001457.1,6,1,1,Pr,Pr
IHECRE00001457.1,7,0.8,0.8,Tx_Wk,Tx_Wk
IHECRE00001457.1,8,1,1,ReprPC,ReprPC
IHECRE00001457.1,9,0.73,0.73,Enh,Enh
IHECRE00001457.1,10,0.98,0.98,Het_C,Het_C
IHECRE00001901.1,1,1,1,Tx_Str,Tx_Str
IHECRE00001901.1,2,0.98,0.98,Het_C,Het_C
IHECRE00001901.1,3,0.84,0.84,Rep,Rep
IHECRE00001901.1,4,1,1,NS,NS
IHECRE00001901.1,5,0.9,0.9,Tx_Wk,Tx_Wk
IHECRE00001901.1,6,0.91,0.91,Mix,Mix
IHECRE00001901.1,7,1,1,Pr,Pr
IHECRE00001901.1,8,0.95,0.95,Het_F,Het_F
IHECRE00001901.1,9,0.53,0.53,ReprPC,ReprPC
IHECRE00001901.1,10,0.85,0.85,Enh,Enh
IHECRE00003834.5,1,0.95,0.95,Tx_Str,Tx_Str
IHECRE00003834.5,2,0.98,0.98,Het_C,Het_C
IHECRE00003834.5,3,0.31,0.31,Het_F,Het_F
IHECRE00003834.5,4,0.99,0.99,NS,NS
IHECRE00003834.5,5,0.34,0.14,Enh,Mix
