EpiRR,states,coverage,CpG,CpGIsland,DNA_methyl,enhancer,geneExpression,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me3,H3K9me3,LINE,LTR,PMDs_Common,RC,RefSeqExon,RefSeqGene,RefSeqTES,RefSeqTSS,RefSeqTSS2kb,Retroposon,RNA,SINE,TandemRepeats,Unknown
IHECRE00000285.2,7,1.17624,0.0393647001618688,35.76419,0.134542899962533,0.65546,8.595,24.3242085050581,0.98899400524541,1.51241101536156,21.5559432371675,50.5254777070064,0.494754589733983,0.23463,0.31525,0.44168,0.38974,6.12697,1.59492,3.23878,36.90767,16.8725,0.11216,2.04591,0.62996,0.57072,0.53795
IHECRE00000285.2,8,35.39544,0.00676294776379342,0.03252,0.868389025792673,1.14933,0,0.997256448168227,1.50044356826023,0.209692787908658,0.264087399375719,0.0943978971578774,3.12950550353212,1.31045,1.38503,1.73006,1.19603,0.24757,0.71272,0.30492,0.17775,0.21434,0.35982,0.67641,0.66869,0.80852,1.21345
IHECRE00000285.2,9,13.42074,0.0121936569668963,0.23946,0.920190421414248,1.07573,0.03,0.847336431891312,0.960951951625188,0.263706455674558,0.420318353515412,0.118986180845937,0.822628281854782,1.06063,1.00224,0.58321,1.14718,0.77505,1.07219,0.87759,0.4133,0.78283,2.12928,1.36475,1.76126,0.76142,1.04565
IHECRE00000285.2,10,1.25386,0.0334861025589552,28.35669,0.276673981621177,0.70946,0,1.66794678370594,15.9146207653271,0.509669455493074,6.03092854203813,3.05067891921547,3.71341379783294,0.23236,0.28253,0.77618,0.21743,4.54529,1.21896,3.01624,14.31324,12.0472,0.04707,1.79353,0.47748,0.6524,0.6155
IHECRE00000318.2,1,11.7225,0.00784467662655593,0.49431,0.86093480478531,0.39515,0,0,0.00113604748214783,0.0000695539274784383,0.0000695539274784383,0,0.0117777983863489,0.90463,0.43361,0.44457,0.12385,0.30005,0.28745,0.45267,0.38072,0.39805,4.1061,0.67626,0.27865,2.69504,0.15131
IHECRE00000318.2,2,7.18899,0.0114095566697861,0.3037,0.793747384263316,1.04884,0.47,0.69717242730056,3.7044501025678,0.842272366481461,1.93557814223423,0.206537537754229,1.85849251100413,0.79543,1.09531,1.13078,1.13706,0.66553,0.82999,0.88721,0.66498,1.0417,0.2617,0.8778,0.9351,1.11409,1.20364
IHECRE00000318.2,3,15.40584,0.0128491163905246,0.30241,0.923758992594679,1.07847,0,0.381814127615627,1.48824654672628,0.772770481991339,0.826391578354399,0.02131817061578,0.987706697649309,1.1461,1.12935,0.47506,1.06073,0.78038,1.04766,0.85517,0.42167,0.74204,2.27539,1.33914,1.66063,0.73772,0.9396
IHECRE00000318.2,4,6.54303,0.0115060135710947,0.22504,0.838028878215455,1.03447,9.67,2.14493806994013,1.45237791947968,4.87875120825434,7.6688221674397,1.06012048824715,1.25591763639225,0.72167,0.80487,0.48119,0.88639,1.44249,1.54634,1.7689,0.65738,1.57342,0.18761,1.28707,1.432,0.74092,1.13141
IHECRE00000318.2,5,10.1522,0.0127587860270035,0.54591,0.938045593920811,1.01821,9.32,1.03636181842421,1.09435408612185,12.7421510465271,1.58230569257432,0.0816391147846954,1.20570590587922,0.71689,0.47965,0.47202,0.9385,3.44921,2.2016,2.93865,0.38459,0.51559,0.61641,1.51797,1.67337,0.69364,0.73173
IHECRE00000318.2,6,0.89195,0.0507222979255855,49.36021,0.054819387889137,0.53582,14.655,28.8664783922238,0.548404045711283,1.96991987389991,5.58455930644949,100.877347957441,0.170235124129778,0.15931,0.16143,0.45596,0.21012,7.55094,1.6728,3.12773,49.58153,22.81994,0.15747,2.49101,0.5526,0.56724,0.26036
IHECRE00000318.2,7,33.52709,0.00708435540737309,0.03332,0.870719650803549,1.15091,0,0.320016439443326,2.4696437175817,0.99520988634109,0.882528839885491,0.00286273064822426,2.82747087667583,1.22459,1.33978,1.82822,1.19428,0.26377,0.73904,0.31449,0.18784,0.22346,0.17507,0.66295,0.67738,0.78538,1.27616
IHECRE00000318.2,8,10.22148,0.0099109574043579,0.13878,0.909290873716931,1.07709,0,0.605541516649149,5.1158284321399,0.947905718183241,1.11771809378983,0.063499340295637,2.54062213475859,1.04979,1.15434,0.71656,1.49677,0.87093,0.92756,0.98385,0.46829,0.91465,0.1047,1.07395,1.03492,0.73864,1.30809
IHECRE00000318.2,9,3.2112,0.0132000894730512,0.46681,0.617189004250781,0.98146,14.85,8.70642208628938,0.904424070974717,4.83783343454241,18.5330139076085,8.69168505709673,0.85131892708503,0.55933,0.68202,0.46525,0.91576,1.83205,1.55047,2.28656,1.37462,3.66825,0.08893,1.18275,1.17528,0.63402,0.98821
IHECRE00000318.2,10,1.13572,0.0302107222263727,28.42896,0.292181328128631,0.77616,0,1.25719131929922,7.64138668153725,1.07423672103722,7.7459919141224,8.15481667363725,2.14022491751475,0.25994,0.4017,0.77506,0.20847,4.27631,1.1666,2.64208,14.38021,10.48597,0.06982,1.82749,0.45223,0.63385,0.62028
IHECRE00001907.1,1,10.52868,0.0063354000795376,0.48768,0.874549276287782,0.32573,0,0,0.00500212856534696,0.00151660280970626,0.0000798212005108557,0.0000266070668369519,0.0243986802894849,0.76468,0.30111,0.37369,0.12435,0.27371,0.25469,0.43341,0.36793,0.37717,3.53635,0.65375,0.23706,2.92925,0.13567
IHECRE00001907.1,2,9.7798,0.0126919955474977,0.55027,0.947932393034434,1.01295,16.705,2.03329130880151,1.62800409739185,14.6581238673075,1.8508194783705,1.04199826648806,2.21182333937436,0.71012,0.49346,0.47324,0.85123,3.58736,2.22645,3.04666,0.39736,0.52512,0.56977,1.5361,1.65274,0.68558,0.70124
IHECRE00001907.1,3,30.44885,0.00740017609297616,0.05572,0.888401153781973,1.14614,0,1.24550048868865,4.58178979236692,1.95153638942525,1.1063314977711,0.934170063648716,5.83843476602541,1.29353,1.45418,1.89283,1.15682,0.21782,0.68386,0.27475,0.16883,0.20673,0.35812,0.64115,0.65835,0.81081,1.1687
IHECRE00001907.1,4,2.95926,0.0146619661825754,0.56939,0.618829032202897,0.96764,14.84,13.4877977870128,1.55613702050519,3.4196979802644,20.668077574265,6.48029859935355,1.4488652882527,0.51426,0.7079,0.46306,0.82496,1.8871,1.49534,2.22307,1.52776,4.14842,0.12218,1.15876,1.3522,0.60621,0.907
IHECRE00001907.1,5,6.86679,0.0120602088550018,0.24133,0.827424398723124,1.03212,0.91,3.24691949672252,2.62727331800866,4.31863410037933,6.81789900335464,1.42718884277046,1.56589880841178,0.68301,0.79477,0.50151,0.96822,1.31612,1.45539,1.6563,0.73752,1.78763,0.2439,1.28472,1.43226,0.74164,1.12152
IHECRE00001907.1,6,0.8204,0.0547171549853935,54.95772,0.0610346460955474,0.51074,37.51,60.3275477060495,1.78542427933415,1.71427121396671,7.55078495060225,110.43896332386,0.656651779672486,0.13429,0.13726,0.45212,0.21628,8.07898,1.64653,3.24038,54.14373,23.30706,0.07981,2.55242,0.48135,0.5712,0.19425
IHECRE00001907.1,7,11.2096,0.011426232251372,0.23472,0.920812051388744,1.0814,0,0.849669718090086,1.77024602101321,1.46174451263913,0.789393269530844,0.449449963590971,1.26913424529283,1.38819,0.99368,0.49215,0.95317,0.64336,1.10423,0.80028,0.33224,0.62231,3.49983,1.15873,1.41961,0.77282,0.8993
IHECRE00001907.1,8,18.62431,0.0106177035771537,0.16227,0.917176824349102,1.09494,0,1.52494316098276,6.44883755042171,1.82647598093143,1.32581591492483,1.02565456545655,2.08635863586359,0.80228,0.95951,0.78483,1.42132,0.83286,1.01757,0.87982,0.48943,0.68185,0.16653,1.07077,1.25802,0.7894,1.41313
IHECRE00001907.1,9,0.89193,0.0365438404214929,34.93232,0.294945663605132,0.72084,0,2.99113089812802,26.6898618803898,1.72940475355816,8.35911098646848,11.3884175839585,5.17752226039403,0.17927,0.28391,0.81173,0.18382,5.00838,1.22599,3.01927,17.05119,12.17423,0.0296,1.99212,0.40398,0.60893,0.56488
IHECRE00001907.1,10,7.87038,0.0106319590883344,0.32365,0.853667044400948,1.04669,0,1.60024724425672,13.3847841763676,2.03494385495004,1.556505614505,1.18029257237045,6.23349129494179,1.09685,1.37205,0.986,1.087,0.88458,0.82954,1.09458,0.64115,1.32045,0.23238,1.20941,0.93515,0.82618,1.10289
IHECRE00000237.3,1,36.81429,0.00564193134729669,0.04796,0.905985994935531,1.11557,4.96,0.0149516745399027,0.0301738091000688,0.0360188285017216,0.0323444959984529,0.0131103042465026,0.0672163217717514,1.50791,0.86783,1.18661,1.4619,0.75919,1.03653,0.85161,0.19926,0.41162,0.95525,0.72495,0.30206,0.84592,1.43885
IHECRE00000237.3,2,15.80635,0.0100559817784376,0.07793,0.903304661652918,1.11549,0.01,0.808087478481059,1.77386869321707,0.911910234261697,1.00890158013041,0.656962522379193,1.72241957406412,0.85483,1.78086,1.12817,1.06497,0.47964,0.88709,0.64344,0.32832,0.51215,2.16979,1.17163,1.41752,0.78926,1.09356
IHECRE00000237.3,3,16.75664,0.00463544035366517,0.18486,0.793199058523549,0.61978,0.04,0.000128717483511903,0.000520999338024371,0.0000429058278373011,0.000214529139186506,0.0000796822516978449,0.000723269669257361,0.92697,0.4336,0.96588,0.62259,0.26294,0.39704,0.39507,0.25541,0.35372,0.11995,0.55245,0.19375,2.32038,0.68007
IHECRE00000237.3,4,13.62633,0.0153262848920784,0.32012,0.907550646301752,1.07667,0,2.37601314405613,5.01813325100857,2.82640462274501,2.90385269447918,1.9072145798559,3.78371870743138,0.56964,1.59608,0.96719,0.63496,0.78742,0.90272,0.70553,0.64207,0.92813,1.11914,1.44517,2.27165,0.53933,0.62135
IHECRE00000237.3,5,2.5612,0.0101920828747157,0.73527,0.666300501476119,0.99415,9.63,0.806173413677357,1.27741942006713,0.652151494317952,1.99805374691633,0.810005257410927,0.914177821814211,0.64858,1.08084,0.99688,1.0054,0.8806,1.00254,1.36865,1.42193,3.17132,0.53151,1.38643,0.88766,0.95845,1.24917
IHECRE00000237.3,6,3.63848,0.0190558766334027,1.64416,0.947834063599256,0.95539,15.27,3.9500392315898,3.92809158151795,15.7538504262578,4.876442532333,2.74282150067443,4.35639915718203,0.33544,0.52558,0.38634,0.36835,4.5577,2.17771,3.55153,0.80376,1.11043,0.7946,1.42686,2.68431,0.36734,0.22937
IHECRE00000237.3,7,1.27831,0.0404221771739583,37.54546,0.288945482059655,0.63947,18.315,17.1149098004858,4.74694357054677,6.03343156385648,14.2295209270837,34.972342797977,3.57886981800804,0.15587,0.24702,0.42821,0.25019,6.53853,1.58018,3.63733,36.75709,16.78799,0.07454,1.9419,0.80712,0.50789,0.31079
IHECRE00000237.3,8,4.94047,0.0120019463380526,0.14432,0.941145681201753,1.05639,11.32,1.63002686209055,1.48800116489325,6.7755733187287,2.22826909034008,1.08704317059601,1.88992628138257,0.64321,0.6087,0.44397,1.00531,1.99675,2.09709,2.17965,0.31451,0.66254,1.69368,1.93989,2.44122,0.71209,0.68089
IHECRE00000237.3,9,3.80645,0.0177186331377716,0.91643,0.83409731783885,0.95572,0.13,4.85897541811239,4.89202511428099,5.84344421802427,9.57000514034991,3.52080005874686,3.38946411852178,0.34381,0.71223,0.46149,0.26248,2.09975,1.32232,2.12244,1.68335,3.20529,0.13225,0.98158,1.76523,0.46291,0.48197
IHECRE00000237.3,10,0.77148,0.0404409845065127,38.21394,0.352883741258741,0.70796,0.03,3.54361888111888,21.4815996503497,3.74611013986014,9.10371503496503,10.6043269230769,5.28273601398601,0.14656,0.225,0.85942,0.08074,5.54755,1.24474,3.00675,16.76163,11.76979,0.07554,1.68159,0.54554,0.55872,0.32716
IHECRE00000161.3,1,8.08251,0.0112107952150364,0.20704,0.781349467619978,1.06494,0.01,1.54143305385525,1.4511470603364,0.102502443289954,1.06799418754179,1.47015328429608,1.02227894655625,0.90587,1.11651,0.93722,1.02834,0.76848,0.88533,0.99315,0.6281,0.8917,0.12638,0.88366,0.92073,1.03357,1.16545
IHECRE00000161.3,2,9.45502,0.00984996960684966,0.20693,0.910686674350563,1.07645,0,1.61120223424062,2.48825250465467,0.0671380441528504,0.737332653604043,1.56670582498448,2.26899547832255,1.19031,1.43537,0.65808,1.28366,0.91673,0.91826,1.01168,0.4378,0.94659,0.23555,1.13336,1.00316,0.7122,1.13993
IHECRE00000161.3,3,1.15473,0.0342443952591681,30.72037,0.27444110333661,0.76104,0.01,1.60191985196322,4.16356329150523,0.0709824784594923,4.03009888394148,3.80732088128144,2.00667900306482,0.24986,0.38599,0.77882,0.44955,4.60093,1.18714,2.7333,16.1421,10.82681,0.05245,1.58436,0.42543,0.71898,0.61947
IHECRE00000161.3,4,4.51967,0.0108511671742899,0.5756,0.878117967198647,1.05228,0,0.0426196955210708,0.0379495476943443,0.00153220073055331,0.0145865509548675,0.0408178274619401,0.121987693363732,2.66494,1.15714,1.12513,0.17327,0.48793,0.75352,0.59201,0.39445,0.60312,17.29984,0.64688,0.60801,0.59332,0.24304
IHECRE00000161.3,5,15.98222,0.0125678180758378,0.25988,0.931443883064163,1.06916,0.185,1.40777868637014,0.743793989661517,0.0301758126222949,0.746232586665109,1.25735959814258,0.468926141175783,0.85094,0.92554,0.52572,1.26748,1.00596,1.26012,1.07956,0.46491,0.84996,0.40403,1.41535,1.75688,0.77346,1.14398
IHECRE00000161.3,6,6.51687,0.0118846494140274,0.26267,0.760574111735854,1.01375,3.465,2.23941859074052,0.42832874745783,0.344879770307453,7.42058858715157,2.25109462854408,0.365067591817203,0.63743,0.73072,0.47094,0.9401,1.52206,1.51401,1.86565,0.90266,2.44799,0.13195,1.22846,1.34304,0.70242,1.10712
IHECRE00000161.3,7,9.72578,0.00402370905761508,0.45099,0.839160978384528,0.25881,0,0,0,0,0,0,0,0.42135,0.37208,0.26366,0.1736,0.2781,0.19452,0.43862,0.38513,0.37274,0.24077,0.69389,0.26772,3.14823,0.14634
IHECRE00000161.3,8,34.26044,0.00693073892657955,0.02926,0.871469807779432,1.15077,0,1.80816775613229,1.08759950812245,0.0057277846094104,0.329282894311048,1.77915668888745,1.69540806420296,1.19609,1.29959,1.79168,1.23136,0.27687,0.74102,0.32773,0.19522,0.23231,0.11457,0.65451,0.68826,0.78674,1.29774
IHECRE00000161.3,9,1.32017,0.036652213810897,31.6799,0.155165709235528,0.673,6.39,5.03188982177051,0.129965139686748,0.0895320862179015,6.59616045563902,11.3384150832229,0.0314479304757696,0.25357,0.27788,0.46955,0.4071,5.5081,1.59762,3.0585,32.50226,16.72135,0.17611,2.30965,0.70863,0.56178,0.49846
IHECRE00000161.3,10,8.9826,0.0135556785122224,0.5809,0.941507611645127,1.008,3.23,1.57699029572736,0.139792117003173,1.84599641263855,1.22496895552592,1.37370648024652,0.132801361357678,0.65967,0.40798,0.46525,0.82968,3.57852,2.2255,3.07613,0.41257,0.60321,0.52152,1.6188,1.76824,0.68428,0.66212
