EpiRR,states,coverage,CpG,CpGIsland,DNA_methyl,enhancer,geneExpression,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me3,H3K9me3,LINE,LTR,PMDs_Common,RC,RefSeqExon,RefSeqGene,RefSeqTES,RefSeqTSS,RefSeqTSS2kb,Retroposon,RNA,SINE,TandemRepeats,Unknown
IHECRE00000285.2,9,14.0855,0.011023765941082,0.21603,0.895485375158966,1.07387,0.03,0.790002826056239,0.821555743959305,0.267867740568037,0.400593471810089,0.0950402713013989,0.748805991239226,1.12495,1.00853,0.67642,1.13177,0.70408,1.03349,0.859,0.41178,0.73009,1.95506,1.26686,1.67945,0.77758,0.98762
IHECRE00000285.2,10,1.20816,0.0349149395068795,29.2877,0.285228850039533,0.68598,0,1.68922955284196,17.6190371606782,0.506237371518932,6.57612228762189,3.61578669946411,4.08741105156813,0.26115,0.30337,0.73722,0.12098,4.70676,1.2348,3.18755,14.67521,12.57561,0.04153,1.75229,0.51234,0.60772,0.55121
IHECRE00004616.1,1,9.32912,0.00571915315528867,0.48304,0.783069186962317,0.23522,0.01,0,0,0,0,0,0,0.3861,0.34042,0.23284,0.18531,0.2471,0.17512,0.39909,0.36322,0.34834,1.60487,0.68177,0.23102,3.21538,0.12863
IHECRE00004616.1,2,0.85271,0.056376760687496,56.97996,0.107338900660601,0.50823,26.615,17.7235448086751,1.98946778013212,2.72768914371183,4.82998878225103,7.7460737878599,1.6740309111305,0.12148,0.16958,0.47342,0.34313,8.22313,1.59544,3.27168,53.89694,22.83738,0.0689,2.40491,0.60342,0.59329,0.18753
IHECRE00004616.1,3,14.53116,0.00602960234887308,0.07552,0.820004073671736,1.12176,0.52,0.589768911712423,5.54189709658305,5.4844768417934,2.22615050365396,1.80455634011456,8.74708053525578,2.04293,1.81465,1.7696,0.79943,0.31929,0.65404,0.38754,0.18235,0.23579,0.14239,0.73793,0.54364,0.8698,0.59767
IHECRE00004616.1,4,18.14308,0.0113506553873788,0.25639,0.891695817060056,1.04179,9.33,0.957653457653458,2.88533320983652,4.19273993115053,3.36380102605268,1.61521223441753,2.45220416081343,0.77027,0.73101,0.54318,1.17269,2.03486,1.63327,1.96199,0.48677,0.83527,0.1094,1.47139,1.50793,0.76991,1.02035
IHECRE00004616.1,5,24.68112,0.00851125146049458,0.22102,0.846867084166579,1.11957,0.06,0.625850787636389,4.47891888573133,3.81958039504614,2.39486632986001,1.48772936182156,3.49537329403922,0.95098,1.13928,1.19793,1.42863,0.54823,0.86153,0.6296,0.3718,0.53126,0.13966,0.89322,0.9747,0.78501,1.36079
IHECRE00004616.1,6,8.35877,0.0114944369452929,1.68227,0.684531301454148,1.04339,12.73,1.67490510771791,3.11935629235489,3.72131783281626,8.47451557273342,2.15662859420767,2.64218893529993,0.62852,0.80523,0.67865,1.08372,1.40171,1.4511,1.45082,1.4433,2.20222,0.09843,1.14396,1.1011,0.70795,1.31023
IHECRE00004616.1,7,12.17788,0.00702256275654882,0.2379,0.739706332909618,1.12457,0.01,0.588931260389166,6.992259052834,4.58609562921678,2.28734395880186,1.6757276490336,4.54611974837848,0.97555,1.15716,1.49445,1.25011,0.49219,0.80521,0.56888,0.42991,0.56974,0.06506,0.75174,0.72561,0.76065,1.46609
IHECRE00004616.1,8,3.28758,0.0099983022798404,0.16483,0.379297226770364,1.03909,23.955,6.32141577977896,2.90765068563242,3.92447170487106,17.0401593839542,3.64688011665984,2.52426575931232,0.47521,0.72288,0.62802,0.79031,1.38968,1.50101,1.66982,1.43647,2.8182,0.03953,0.98933,0.78444,0.60853,1.60731
IHECRE00004616.1,9,5.55426,0.0182987907547904,2.33468,0.894235018865883,1.00477,2.09,0.404095046184223,1.97047387852806,2.19876796992278,1.92592605114751,0.878727533370299,1.50072014930419,0.57226,0.61017,0.54253,0.47803,2.01399,1.31236,1.76139,1.08438,1.55929,1.55715,1.35264,2.66736,0.65277,0.54624
IHECRE00004616.1,10,3.08432,0.0168284075516185,1.69703,0.826692926235832,1.0132,0.07,0.0669025577117085,0.89821078867723,0.839015488695033,0.342457420924574,0.212561569046347,1.38134235356952,2.36275,0.759,1.08244,0.09399,0.69007,0.79327,0.77561,0.63245,0.74968,21.74695,0.85677,0.83676,0.87795,0.23774
IHECRE00001907.1,1,9.44657,0.00442464806419021,0.45344,0.860909532483303,0.24434,0,0,0,0,0,0,0,0.51035,0.25328,0.29721,0.12312,0.25657,0.19803,0.41609,0.36807,0.35794,1.45888,0.67398,0.22153,3.18939,0.13085
IHECRE00001907.1,2,8.9628,0.0126605500818123,0.58106,0.940797114517583,1.00422,16.705,2.09495040577096,1.57337691614067,15.6903065825068,1.98505410279531,1.04398106402164,2.34409377817854,0.68039,0.47035,0.46956,0.87051,3.83522,2.23924,3.25225,0.4111,0.53789,0.57616,1.52756,1.65616,0.6728,0.65023
IHECRE00001907.1,3,30.58643,0.00756715195576015,0.0647,0.894955951002071,1.14523,0,1.24232213681513,4.60857814748517,1.95929416306904,1.08889649362957,0.930890456635429,6.05911515917307,1.30813,1.48763,1.83765,1.16052,0.22405,0.68304,0.27657,0.17017,0.20771,0.30841,0.65196,0.66803,0.83225,1.15151
IHECRE00001907.1,4,4.90578,0.011929229020425,0.31521,0.770458287596048,1.01028,14.84,5.10433378366968,2.17620113147007,4.10809655492696,11.8663134340961,1.97459469728954,1.63733323482226,0.62955,0.78358,0.47368,0.88599,1.56112,1.51655,1.92869,0.92033,2.46435,0.15888,1.20939,1.42417,0.68359,0.97242
IHECRE00001907.1,5,15.37233,0.0109368737452867,0.18161,0.900127032561127,1.0757,0.91,1.63992853414703,2.85885092544265,2.2579756694905,2.05720480186293,0.91977757256996,1.50029710523146,0.82501,0.84063,0.50053,1.18473,0.92451,1.3369,1.09271,0.42914,0.83667,0.37346,1.34102,1.57684,0.8096,1.2485
IHECRE00001907.1,6,2.31207,0.0267374552721351,19.24313,0.366186174642834,0.79481,37.51,31.8684092510731,1.32125696713435,2.38597924274457,20.0129412518419,36.1288519443911,1.39912870779678,0.35382,0.47982,0.4559,0.50199,4.03426,1.54019,2.52238,20.03333,11.44523,0.14108,1.68867,1.07478,0.57883,0.69485
IHECRE00001907.1,7,5.27627,0.0097618718848258,0.46961,0.89139562686802,1.06808,0,0.150393267264433,1.00119553248388,0.285291804310209,0.117736353625924,0.0594226836558125,1.1572833097373,2.32808,1.06202,0.79885,0.3824,0.374,0.69377,0.51826,0.32863,0.48959,11.69106,0.70031,0.7399,0.73029,0.46008
IHECRE00001907.1,8,15.81883,0.01031345604054,0.15253,0.893880857652078,1.09807,0,1.47714548040398,7.45889967054926,1.73132662430014,1.27692764685762,1.02977658559418,2.21955281113291,0.80253,0.95159,0.94909,1.40911,0.78474,0.97525,0.84486,0.52606,0.68766,0.11952,0.99524,1.17121,0.78111,1.40656
IHECRE00001907.1,9,0.57702,0.0459381811451365,51.20683,0.271210625504801,0.63806,0,3.78075922103563,29.9481737413623,1.70133716234407,11.4790900116665,19.4926859912052,4.84281611774208,0.12976,0.24379,0.64551,0,6.51205,1.31748,3.11538,24.46841,15.3858,0.02188,1.63985,0.35842,0.62107,0.29932
IHECRE00001907.1,10,6.7419,0.0109844173130641,0.78053,0.839934299564458,1.03219,0,1.6495976771082,15.0637564900711,2.09567164546372,1.69776569305347,1.22367676369989,7.09178375452152,1.10167,1.36717,0.90533,1.11411,1.03929,0.85548,1.25678,0.89427,1.73424,0.17594,1.35929,0.9317,0.69423,1.08216
IHECRE00000237.3,1,28.56227,0.00608030704896459,0.06898,0.884829068971686,1.09829,4.96,0.0267803412740414,0.0482823073718346,0.0549544037963265,0.0624478449241148,0.0244445445321463,0.117322804107099,1.29879,1.02064,1.0984,1.53398,0.81845,1.07883,0.98957,0.25672,0.61684,1.14561,0.82677,0.34748,0.93661,1.48883
IHECRE00000237.3,2,12.70206,0.0150029366490024,0.28499,0.896826955740588,1.0916,0.01,2.09994715744816,4.79630932520061,2.38942620537635,2.41530169322634,1.71741086593845,3.58955000792638,0.59115,1.67736,1.08473,0.68826,0.63884,0.85183,0.60855,0.59145,0.79994,1.29728,1.45143,2.33563,0.57218,0.68402
IHECRE00000237.3,3,26.37151,0.00409843800507224,0.12099,0.883544947194188,0.81404,0.04,0,0,0,0,0,0,1.33042,0.44535,1.12961,0.83581,0.38864,0.58915,0.44163,0.20234,0.26347,0.24245,0.52308,0.19304,1.69378,0.89752
IHECRE00000237.3,4,13.7579,0.010080036464996,0.10906,0.891006572706329,1.11164,0,0.748141223866254,1.69614477201887,0.799154644425006,0.937022344326857,0.625587252111849,1.65167633784655,0.87619,1.79986,1.16906,1.06032,0.45511,0.84923,0.62743,0.36367,0.58597,2.13666,1.1453,1.29725,0.81232,1.12508
IHECRE00000237.3,5,2.01012,0.0191409382644474,1.51367,0.755077294523993,0.92037,9.63,6.85000503001241,4.2541665269441,6.92825525636297,13.3267496059824,4.95141008014486,3.34637503772509,0.30359,0.55214,0.40317,0.27381,2.73735,1.54005,3.13001,2.28255,4.51406,0.08682,1.02308,1.7169,0.43519,0.4599
IHECRE00000237.3,6,3.73637,0.0186044709380828,1.39616,0.946248256138393,0.97273,15.27,3.6842782156808,3.65148489815848,15.3824201311384,4.40069144112723,2.52256120954241,4.15294974190848,0.34519,0.5212,0.3953,0.39991,4.25547,2.1907,3.22071,0.68957,0.9176,0.8658,1.55335,2.83717,0.38604,0.26593
IHECRE00000237.3,7,0.9236,0.0506451610125035,50.74166,0.185976926992026,0.54451,18.315,21.3146807668382,5.01258270655432,5.69993779336086,13.3086580331392,50.32618899508,3.71175705479839,0.11769,0.16311,0.43397,0.2181,7.84151,1.61099,3.53333,49.33682,20.99299,0.05554,2.15755,0.65127,0.53934,0.18997
IHECRE00000237.3,8,6.41154,0.0114780665538386,0.19788,0.893014115025073,1.05189,11.32,1.66522163065684,1.34424100786232,5.10288181761902,2.78020491549557,1.1727867888318,1.62136600012382,0.63035,0.70824,0.44975,1.0326,1.66745,1.88112,1.94698,0.53897,1.18917,1.44574,1.8696,2.14898,0.74327,0.80425
IHECRE00000237.3,9,4.7364,0.0172440981597327,0.87998,0.885816086302207,0.99445,0.13,3.61872141015899,6.40562558669706,5.02969245898708,5.8105806624648,2.8803696750257,4.40905264255807,0.43839,1.06974,0.58036,0.40144,1.76372,1.12392,1.53638,1.27936,1.81955,0.46563,1.11704,1.80327,0.45285,0.45998
IHECRE00000237.3,10,0.78822,0.0400870005389785,36.99181,0.418964530396323,0.71242,0.03,3.70150030352962,22.6512011100512,3.97701847194519,9.22951175093227,10.9695169542971,5.4220362501084,0.16294,0.27914,0.83095,0.05884,5.46661,1.25941,3.01742,15.94463,11.51576,0.09528,1.60794,0.63063,0.52204,0.26745
IHECRE00000318.2,1,10.3591,0.00631910134619681,0.4999,0.859704769812713,0.31028,0,0,0,0,0,0,0,0.64622,0.34874,0.34037,0.12873,0.28995,0.23928,0.44951,0.3884,0.38814,2.022,0.70237,0.26056,2.97488,0.14331
IHECRE00000318.2,2,13.75316,0.0114098489949764,0.21373,0.887363035400524,1.0675,0.47,0.870222081401043,1.87728994440764,1.57159316761241,2.12509361407956,0.173204049889103,1.43093081199412,0.85919,0.9502,0.5134,1.24849,0.98542,1.33543,1.11453,0.48521,0.92936,0.30336,1.41119,1.53299,0.78143,1.16866
